 portfolio_name,sedol,invariant_id,sec_desc,market,currency,country,sector,subsector,industry,subindustry
MSACIMIUSD,B3W1335,Z915NUT09,GUOTAI JUNAN INTL.HDG.,HKG,HKD,HKG,Financials,Diversified Financials,Capital Markets,Investment Banking & Brokerage
MSACIMIUSD,B3W35X5,Z915NUTH2,ERM POWER,AUS,AUD,AUS,Utilities,Utilities,Electric Utilities,Electric Utilities
MSACIMIUSD,B3W9403,Z915NUUS6,ROADRUNNER TRSP.SYSTEMS,USA,USD,USA,Industrials,Transportation,Road & Rail,Trucking
MSACIMIUSD,B3WBBZ3,Z915NUV14,GRUPO AEROMEXICO,MEX,MXN,MEX,Industrials,Transportation,Airlines,Airlines
MSACIMIUSD,B3WH021,Z915NUW88,HERMES MICROVISION,TWN,TWD,TWN,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment
MSACIMIUSD,B3WNNP3,Z915NUXT1,GREEN DOT CLASS A,USA,USD,USA,Financials,Diversified Financials,Consumer Finance,Consumer Finance
MSACIMIUSD,B3WPL22,Z915NUY03,QLIK TECHNOLOGIES,USA,USD,USA,Information Technology,Software & Services,Software,Application Software
MSACIMIUSD,B3WPWZ2,Z915NUY45,MITSUBISHI RESH.INST.,JPN,JPY,JPN,Information Technology,Software & Services,IT Services,IT Consulting & Other Services
MSACIMIUSD,BD9WQP4,Z915NUYN3,BROADCOM,USA,USD,USA,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
MSACIMIUSD,B3WS5W9,Z915NUYR4,VOCUS COMMUNICATIONS,AUS,AUD,AUS,Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,Integrated Telecommunication Services
MSACIMIUSD,B3WSNV4,Z915NUYV5,RIGNET,USA,USD,USA,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
MSACIMIUSD,B3X17H6,Z915NV0H1,TA GLOBAL,MYS,MYR,MYS,Consumer Discretionary,Consumer Services,Hotels Restaurants & Leisure,Hotels Resorts & Cruise Lines
MSACIMIUSD,B3X26D8,Z915NV0W8,PACIRA PHARMACEUTICALS,USA,USD,USA,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Pharmaceuticals,Pharmaceuticals
MSACIMIUSD,B3XS562,Z915NV727,AIR LEASE,USA,USD,USA,Industrials,Capital Goods,Trading Companies & Distributors,Trading Companies & Distributors
MSACIMIUSD,B3XSP95,Z915NV7A9,GENEXINE,KOR,KRW,KOR,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Biotechnology,Biotechnology
MSACIMIUSD,B3Y1WH0,Z915NV9D1,AKSA ENERJI URETIM,TUR,TRY,TUR,Utilities,Utilities,Independent Power and Renewable Electricity Producers,Independent Power Producers & Energy Traders
MSACIMIUSD,B3YLTZ7,Z915NVEM5,CHINA ZHENGTONG AUTO SVS.,HKG,HKD,CHN,Consumer Discretionary,Retailing,Specialty Retail,Automotive Retail
