 invariant_id,quote_type,quote_value,currency
Z913Y14M5,PCLOSE,                46.229995,BRL
Z913Y14M5,TOTRET,                -0.006660,BRL
Z913Y14M5,TRDVOL,           2040400.000000,BRL
Z913Y14N3,COMPMC,        2913780482.783133,USD
Z913Y14N3,PCLOSE,                14.250000,BRL
Z913Y14N3,TOTRET,                -0.019270,BRL
Z913Y14N3,TRDVOL,           6658801.000000,BRL
Z913Y14P8,COMPMC,        4174091043.068173,USD
Z913Y14P8,PCLOSE,                20.050003,BRL
Z913Y14P8,TOTRET,                 0.016734,BRL
Z913Y14P8,TRDVOL,           1257300.000000,BRL
Z913Y14T0,COMPMC,         239269529.353630,USD
Z913Y14T0,PCLOSE,                 2.069999,BRL
Z913Y14T0,TOTRET,                -0.046083,BRL
Z913Y14T0,TRDVOL,          20871790.000000,BRL
Z913Y14V5,COMPMC,        6757912736.666897,USD
Z913Y14V5,PCLOSE,                15.090001,BRL
Z913Y14V5,TOTRET,                -0.001984,BRL
Z913Y14V5,TRDVOL,           1902300.000000,BRL
Z913Y14X1,COMPMC,        2704852321.589569,USD
Z913Y14X1,PCLOSE,                22.610000,BRL
Z913Y14X1,TOTRET,                 0.015266,BRL
Z913Y14X1,TRDVOL,           1884400.000000,BRL
Z913Y14Y9,COMPMC,        5235349192.038282,USD
Z913Y14Y9,PCLOSE,                18.539993,BRL
Z913Y14Y9,TOTRET,                -0.003226,BRL
Z913Y14Y9,TRDVOL,           1360100.000000,BRL
Z913Y14Z6,COMPMC,        1147745596.088494,USD
Z913Y14Z6,PCLOSE,                10.350001,BRL
Z913Y14Z6,TOTRET,                -0.022663,BRL
Z913Y14Z6,TRDVOL,           2135600.000000,BRL
Z913Y1502,COMPMC,        2331815876.621124,USD
Z913Y1502,PCLOSE,                26.000000,BRL
Z913Y1502,TOTRET,                -0.008768,BRL
Z913Y1502,TRDVOL,            345500.000000,BRL
Z913Y1510,COMPMC,         758088083.106491,USD
Z913Y1510,PCLOSE,                10.619999,BRL
Z913Y1510,TOTRET,                 0.023121,BRL
Z913Y1510,TRDVOL,            535400.000000,BRL
Z913Y1528,COMPMC,       10115347656.250000,USD
Z913Y1528,PCLOSE,                59.839996,CAD
Z913Y1528,TOTRET,                 0.023605,CAD
Z913Y1528,TRDVOL,           1458599.000000,CAD
Z913Y1536,COMPMC,       41833025981.654930,USD
Z913Y1536,PCLOSE,                82.250000,CAD
Z913Y1536,TOTRET,                -0.003875,CAD
Z913Y1536,TRDVOL,           1490192.000000,CAD
Z913Y1544,COMPMC,       40788826784.454429,USD
Z913Y1544,PCLOSE,                60.000000,CAD
Z913Y1544,TOTRET,                -0.000998,CAD
Z913Y1544,TRDVOL,           1948684.000000,CAD
Z913Y1569,COMPMC,       18248719466.969711,USD
Z913Y1569,PCLOSE,                40.419998,CAD
Z913Y1569,TOTRET,                -0.005658,CAD
Z913Y1569,TRDVOL,           1090192.000000,CAD
Z913Y1577,COMPMC,       30836124467.359764,USD
Z913Y1577,PCLOSE,               100.800010,CAD
Z913Y1577,TOTRET,                -0.006701,CAD
Z913Y1577,TRDVOL,           1986920.000000,CAD
